,pol count,pol average,Adm1Code,quarter,year
139,92,3.4074074074074074,IR13,2,2017
140,35,1.4583333333333333,IR13,3,2017
141,8,1.3333333333333333,IR13,4,2017
142,71,2.1515151515151514,IR15,1,2015
143,240,3.4782608695652173,IR15,2,2015
144,180,2.903225806451613,IR15,3,2015
145,195,3.1451612903225805,IR15,4,2015
146,299,3.8333333333333335,IR15,1,2016
147,289,3.9054054054054053,IR15,2,2016
148,358,4.773333333333333,IR15,3,2016
149,242,3.5072463768115942,IR15,4,2016
150,175,2.9166666666666665,IR15,1,2017
151,160,2.711864406779661,IR15,2,2017
152,199,3.0615384615384613,IR15,3,2017
153,76,7.6,IR15,4,2017
154,11,1.375,IR16,1,2015
155,63,2.625,IR16,2,2015
156,73,2.0277777777777777,IR16,3,2015
157,58,2.6363636363636362,IR16,4,2015
158,73,2.3548387096774195,IR16,1,2016
159,72,2.1176470588235294,IR16,2,2016
160,77,2.3333333333333335,IR16,3,2016
161,38,2.0,IR16,4,2016
162,21,1.6153846153846154,IR16,1,2017
163,36,1.7142857142857142,IR16,2,2017
164,30,1.875,IR16,3,2017
165,5,2.5,IR16,4,2017
166,2,1.0,IR22,1,2015
167,28,2.0,IR22,2,2015
168,43,3.0714285714285716,IR22,3,2015
169,16,1.4545454545454546,IR22,4,2015
170,38,2.235294117647059,IR22,1,2016
171,24,1.6,IR22,2,2016
172,55,2.619047619047619,IR22,3,2016
173,11,1.375,IR22,4,2016
174,25,2.272727272727273,IR22,1,2017
175,42,4.666666666666667,IR22,2,2017
176,72,3.6,IR22,3,2017
177,2,1.0,IR22,4,2017
178,12,1.7142857142857142,IR23,1,2015
179,52,3.0588235294117645,IR23,2,2015
180,28,1.8666666666666667,IR23,3,2015
181,24,2.0,IR23,4,2015
182,19,1.4615384615384615,IR23,1,2016
183,33,1.736842105263158,IR23,2,2016
184,19,1.5833333333333333,IR23,3,2016
185,24,1.5,IR23,4,2016
186,34,2.0,IR23,1,2017
187,11,1.1,IR23,2,2017
188,31,2.2142857142857144,IR23,3,2017
189,1,1.0,IR23,4,2017
190,3,1.5,IR25,1,2015
191,6,1.2,IR25,2,2015
192,9,1.2857142857142858,IR25,3,2015
193,7,2.3333333333333335,IR25,4,2015
194,13,1.4444444444444444,IR25,1,2016
195,17,1.5454545454545454,IR25,2,2016
196,17,1.7,IR25,3,2016
197,27,2.076923076923077,IR25,4,2016
198,9,1.2857142857142858,IR25,1,2017
199,16,2.0,IR25,2,2017
200,12,2.4,IR25,3,2017
201,724,12.271186440677965,IR26,1,2015
202,1956,21.494505494505493,IR26,2,2015
203,2122,23.065217391304348,IR26,3,2015
204,2623,28.51086956521739,IR26,4,2015
205,3863,42.45054945054945,IR26,1,2016
206,2371,26.054945054945055,IR26,2,2016
207,3157,34.31521739130435,IR26,3,2016
208,2207,23.98913043478261,IR26,4,2016
209,1783,19.81111111111111,IR26,1,2017
210,1750,19.23076923076923,IR26,2,2017
211,1883,20.467391304347824,IR26,3,2017
212,246,17.571428571428573,IR26,4,2017
213,82,3.037037037037037,IR28,1,2015
214,66,2.0625,IR28,2,2015
215,76,1.9,IR28,3,2015
216,71,1.9722222222222223,IR28,4,2015
217,92,2.358974358974359,IR28,1,2016
218,90,2.25,IR28,2,2016
219,58,1.7575757575757576,IR28,3,2016
220,73,1.972972972972973,IR28,4,2016
221,92,2.3,IR28,1,2017
222,73,2.0277777777777777,IR28,2,2017
223,84,2.3333333333333335,IR28,3,2017
224,8,1.1428571428571428,IR28,4,2017
225,76,3.1666666666666665,IR29,1,2015
226,128,2.782608695652174,IR29,2,2015
227,162,3.176470588235294,IR29,3,2015
228,195,3.611111111111111,IR29,4,2015
229,154,2.75,IR29,1,2016
230,100,2.0833333333333335,IR29,2,2016
231,163,3.0754716981132075,IR29,3,2016
232,103,3.121212121212121,IR29,4,2016
233,47,1.6206896551724137,IR29,1,2017
234,37,1.6818181818181819,IR29,2,2017
235,73,1.972972972972973,IR29,3,2017
236,4,1.3333333333333333,IR29,4,2017
237,7,1.4,IR30,1,2015
238,51,2.04,IR30,2,2015
239,63,1.6153846153846154,IR30,3,2015
240,24,1.263157894736842,IR30,4,2015
241,146,4.294117647058823,IR30,1,2016
242,106,2.163265306122449,IR30,2,2016
243,84,2.1538461538461537,IR30,3,2016
244,59,1.7352941176470589,IR30,4,2016
245,79,2.323529411764706,IR30,1,2017
246,59,1.84375,IR30,2,2017
247,85,2.5757575757575757,IR30,3,2017
248,4,1.3333333333333333,IR32,1,2015
249,6,1.5,IR32,2,2015
250,14,1.1666666666666667,IR32,3,2015
251,40,2.6666666666666665,IR32,4,2015
252,38,2.533333333333333,IR32,1,2016
253,53,1.962962962962963,IR32,2,2016
254,79,3.2916666666666665,IR32,3,2016
255,131,6.55,IR32,4,2016
256,87,2.806451612903226,IR32,1,2017
257,35,2.3333333333333335,IR32,2,2017
258,149,5.730769230769231,IR32,3,2017
259,10,2.5,IR32,4,2017
260,10,1.25,IR33,1,2015
261,38,1.6521739130434783,IR33,2,2015
262,123,2.411764705882353,IR33,3,2015
263,103,2.710526315789474,IR33,4,2015
264,78,2.2941176470588234,IR33,1,2016
265,91,2.3333333333333335,IR33,2,2016
