,esg count,esg average,Adm1Code,quarter,year
150,2,2.0,IR22,4,2017
151,2,2.0,IR23,1,2015
152,3,1.0,IR23,2,2015
153,6,1.2,IR23,3,2015
154,1,1.0,IR23,4,2015
155,6,2.0,IR23,1,2016
156,9,1.5,IR23,2,2016
157,5,1.25,IR23,3,2016
158,7,1.75,IR23,4,2016
159,3,1.5,IR23,1,2017
160,6,2.0,IR23,2,2017
161,15,1.6666666666666667,IR23,3,2017
162,4,2.0,IR25,1,2015
163,5,1.6666666666666667,IR25,2,2015
164,3,1.5,IR25,4,2015
165,7,1.75,IR25,1,2016
166,4,1.3333333333333333,IR25,2,2016
167,4,1.0,IR25,3,2016
168,16,1.3333333333333333,IR25,4,2016
169,1,1.0,IR25,1,2017
170,13,1.4444444444444444,IR25,2,2017
171,3,1.0,IR25,3,2017
172,42,1.9090909090909092,IR26,1,2015
173,166,2.5538461538461537,IR26,2,2015
174,191,2.6527777777777777,IR26,3,2015
175,101,2.1956521739130435,IR26,4,2015
176,198,3.046153846153846,IR26,1,2016
177,370,4.512195121951219,IR26,2,2016
178,206,2.9855072463768115,IR26,3,2016
179,168,2.7540983606557377,IR26,4,2016
180,187,3.280701754385965,IR26,1,2017
181,166,2.6774193548387095,IR26,2,2017
182,113,2.173076923076923,IR26,3,2017
183,23,2.875,IR26,4,2017
184,11,1.5714285714285714,IR28,1,2015
185,4,1.3333333333333333,IR28,2,2015
186,7,1.1666666666666667,IR28,3,2015
187,9,1.5,IR28,4,2015
188,8,1.3333333333333333,IR28,1,2016
189,23,1.6428571428571428,IR28,2,2016
190,14,1.5555555555555556,IR28,3,2016
191,12,2.0,IR28,4,2016
192,15,1.5,IR28,1,2017
193,17,1.5454545454545454,IR28,2,2017
194,6,1.2,IR28,3,2017
195,2,1.0,IR28,4,2017
196,4,2.0,IR29,1,2015
197,8,1.6,IR29,2,2015
198,21,1.75,IR29,3,2015
199,10,2.0,IR29,4,2015
200,6,1.0,IR29,1,2016
201,10,1.4285714285714286,IR29,2,2016
202,23,1.6428571428571428,IR29,3,2016
203,9,1.2857142857142858,IR29,4,2016
204,3,1.5,IR29,1,2017
205,11,1.375,IR29,2,2017
206,8,1.1428571428571428,IR29,3,2017
207,2,1.0,IR29,4,2017
208,3,1.5,IR30,1,2015
209,5,1.25,IR30,2,2015
210,10,1.4285714285714286,IR30,3,2015
211,9,1.2857142857142858,IR30,4,2015
212,7,1.4,IR30,1,2016
213,11,1.5714285714285714,IR30,2,2016
214,19,1.4615384615384615,IR30,3,2016
215,13,1.1818181818181819,IR30,4,2016
216,7,1.1666666666666667,IR30,1,2017
217,11,1.1,IR30,2,2017
218,14,1.5555555555555556,IR30,3,2017
219,2,2.0,IR30,4,2017
220,3,1.5,IR32,2,2015
221,2,1.0,IR32,3,2015
222,1,1.0,IR32,4,2015
223,1,1.0,IR32,1,2016
224,4,1.0,IR32,2,2016
225,6,1.5,IR32,3,2016
226,7,3.5,IR32,4,2016
227,4,1.3333333333333333,IR32,1,2017
228,4,1.0,IR32,2,2017
229,10,2.5,IR33,1,2015
230,17,1.5454545454545454,IR33,2,2015
231,36,1.8,IR33,3,2015
232,15,1.25,IR33,4,2015
233,5,1.25,IR33,1,2016
234,21,1.4,IR33,2,2016
235,27,1.588235294117647,IR33,3,2016
236,18,1.5,IR33,4,2016
237,5,1.0,IR33,1,2017
