,esg count,esg average,Adm1Code,quarter,year
141,44,1.5172413793103448,BR14,3,2016
142,27,1.35,BR14,4,2016
143,22,1.2941176470588236,BR14,1,2017
144,42,1.826086956521739,BR14,2,2017
145,12,1.2,BR14,3,2017
146,6,1.5,BR14,4,2017
147,20,1.5384615384615385,BR15,1,2015
148,28,1.4736842105263157,BR15,2,2015
149,46,1.5862068965517242,BR15,3,2015
150,63,1.8,BR15,4,2015
151,32,1.6842105263157894,BR15,1,2016
152,62,1.5121951219512195,BR15,2,2016
153,45,1.2857142857142858,BR15,3,2016
154,44,1.4193548387096775,BR15,4,2016
155,56,1.435897435897436,BR15,1,2017
156,39,1.5,BR15,2,2017
157,41,1.4642857142857142,BR15,3,2017
158,11,2.2,BR15,4,2017
159,10,1.4285714285714286,BR16,1,2015
160,25,1.3888888888888888,BR16,2,2015
161,58,1.8709677419354838,BR16,3,2015
162,17,1.2142857142857142,BR16,4,2015
163,20,1.4285714285714286,BR16,1,2016
164,31,1.55,BR16,2,2016
165,36,1.565217391304348,BR16,3,2016
166,19,1.9,BR16,4,2016
167,17,1.3076923076923077,BR16,1,2017
168,41,1.3666666666666667,BR16,2,2017
169,23,1.3529411764705883,BR16,3,2017
170,1,1.0,BR16,4,2017
171,5,2.5,BR17,1,2015
172,8,1.3333333333333333,BR17,2,2015
173,24,1.7142857142857142,BR17,3,2015
174,8,1.3333333333333333,BR17,4,2015
175,31,2.3846153846153846,BR17,1,2016
176,12,1.5,BR17,2,2016
177,19,1.5833333333333333,BR17,3,2016
178,3,1.0,BR17,4,2016
179,8,1.3333333333333333,BR17,1,2017
180,5,1.25,BR17,2,2017
181,14,1.5555555555555556,BR17,3,2017
182,65,2.8260869565217392,BR18,1,2015
183,124,2.339622641509434,BR18,2,2015
184,102,1.9615384615384615,BR18,3,2015
185,78,1.6956521739130435,BR18,4,2015
186,109,2.2244897959183674,BR18,1,2016
187,126,2.3773584905660377,BR18,2,2016
188,108,2.16,BR18,3,2016
189,96,1.8823529411764706,BR18,4,2016
190,120,2.5,BR18,1,2017
191,163,2.629032258064516,BR18,2,2017
192,74,1.85,BR18,3,2017
193,9,1.5,BR18,4,2017
194,3,1.5,BR20,1,2015
195,6,1.2,BR20,2,2015
196,9,1.5,BR20,3,2015
197,8,1.6,BR20,4,2015
198,3,1.0,BR20,1,2016
199,12,1.7142857142857142,BR20,2,2016
200,13,1.3,BR20,3,2016
201,4,1.3333333333333333,BR20,4,2016
202,15,1.6666666666666667,BR20,1,2017
203,16,1.3333333333333333,BR20,2,2017
204,7,1.0,BR20,3,2017
205,41,1.7826086956521738,BR21,1,2015
206,74,1.8974358974358974,BR21,2,2015
207,106,2.163265306122449,BR21,3,2015
208,97,1.9795918367346939,BR21,4,2015
209,185,3.0833333333333335,BR21,1,2016
210,115,1.9827586206896552,BR21,2,2016
211,191,2.7681159420289854,BR21,3,2016
212,124,2.2962962962962963,BR21,4,2016
213,128,2.3703703703703702,BR21,1,2017
214,114,2.375,BR21,2,2017
215,69,1.6829268292682926,BR21,3,2017
216,6,1.5,BR21,4,2017
217,4,1.0,BR22,2,2015
218,8,1.6,BR22,3,2015
219,4,1.0,BR22,4,2015
220,2,1.0,BR22,1,2016
221,2,1.0,BR22,2,2016
222,5,1.0,BR22,3,2016
223,10,1.25,BR22,4,2016
224,7,1.0,BR22,1,2017
225,5,1.0,BR22,2,2017
226,5,1.6666666666666667,BR22,3,2017
227,16,1.3333333333333333,BR23,1,2015
228,25,1.1363636363636365,BR23,2,2015
229,26,1.1818181818181819,BR23,3,2015
230,22,1.4666666666666666,BR23,4,2015
231,60,3.75,BR23,1,2016
232,31,1.4761904761904763,BR23,2,2016
233,57,1.5833333333333333,BR23,3,2016
234,36,1.2,BR23,4,2016
235,31,1.4761904761904763,BR23,1,2017
236,45,1.875,BR23,2,2017
237,35,1.4,BR23,3,2017
238,1,1.0,BR23,4,2017
239,1,1.0,BR24,1,2015
240,3,1.0,BR24,2,2015
241,10,1.25,BR24,3,2015
242,1,1.0,BR24,1,2016
243,9,1.5,BR24,2,2016
244,6,1.2,BR24,3,2016
245,3,1.5,BR24,4,2016
246,4,2.0,BR24,1,2017
247,6,1.2,BR24,2,2017
248,11,1.5714285714285714,BR24,3,2017
249,2,1.0,BR24,4,2017
250,2,2.0,BR25,2,2015
251,1,1.0,BR25,2,2016
252,4,4.0,BR25,4,2016
253,27,1.8,BR26,1,2015
254,23,1.2105263157894737,BR26,2,2015
255,42,1.3548387096774193,BR26,3,2015
256,22,1.2941176470588236,BR26,4,2015
257,22,1.6923076923076923,BR26,1,2016
258,31,1.8235294117647058,BR26,2,2016
259,43,1.4827586206896552,BR26,3,2016
260,32,1.6842105263157894,BR26,4,2016
261,45,1.7307692307692308,BR26,1,2017
262,30,1.5789473684210527,BR26,2,2017
263,22,1.375,BR26,3,2017
264,2,1.0,BR26,4,2017
265,210,5.25,BR27,1,2015
266,452,5.255813953488372,BR27,2,2015
267,473,5.375,BR27,3,2015
268,397,4.726190476190476,BR27,4,2015
269,448,5.397590361445783,BR27,1,2016
270,565,6.494252873563219,BR27,2,2016
271,513,5.965116279069767,BR27,3,2016
272,456,5.241379310344827,BR27,4,2016
273,473,5.7682926829268295,BR27,1,2017
274,603,6.775280898876405,BR27,2,2017
275,374,4.348837209302325,BR27,3,2017
276,71,5.461538461538462,BR27,4,2017
277,1,1.0,BR28,1,2016
278,3,1.0,BR28,2,2016
279,1,1.0,BR28,4,2016
280,2,1.0,BR28,2,2017
281,12,1.3333333333333333,BR29,1,2015
282,18,1.3846153846153846,BR29,2,2015
283,27,1.5,BR29,3,2015
284,17,1.5454545454545454,BR29,4,2015
285,30,1.25,BR29,1,2016
286,37,1.608695652173913,BR29,2,2016
287,22,1.2941176470588236,BR29,3,2016
288,24,1.2,BR29,4,2016
289,21,1.6153846153846154,BR29,1,2017
290,25,1.6666666666666667,BR29,2,2017
291,23,1.5333333333333334,BR29,3,2017
292,4,2.0,BR29,4,2017
293,47,2.0434782608695654,BR30,1,2015
294,98,2.2790697674418605,BR30,2,2015
295,97,1.9795918367346939,BR30,3,2015
296,130,2.5,BR30,4,2015
297,120,2.3529411764705883,BR30,1,2016
298,160,2.5,BR30,2,2016
299,145,2.0714285714285716,BR30,3,2016
300,114,2.0727272727272728,BR30,4,2016
301,86,1.7916666666666667,BR30,1,2017
302,124,2.4313725490196076,BR30,2,2017
303,70,1.8918918918918919,BR30,3,2017
304,18,2.25,BR30,4,2017
305,2,1.0,BR31,1,2015
306,6,1.2,BR31,3,2015
307,4,1.0,BR31,4,2015
308,13,1.625,BR31,1,2016
309,4,1.3333333333333333,BR31,2,2016
310,11,1.1,BR31,3,2016
311,5,1.25,BR31,4,2016
312,7,1.75,BR31,1,2017
313,12,1.5,BR31,2,2017
314,3,1.0,BR31,3,2017
315,1,1.0,BR31,4,2017
